Time,WC,WT,WL,AH,AT,HS
Sun May 15 12:51:25 2022,34.22705643213682,25.3125,5124,83.21561099942937,22.2658203125,1
Sun May 15 12:51:57 2022,34.43285516954176,25.5,5102,80.67860462935631,22.29140625,1
Sun May 15 12:52:29 2022,33.35857683133938,25.625,5046,83.86157985782368,22.3421875,0
Sun May 15 12:53:01 2022,31.66930814650215,25.8125,5033,76.83865119549597,22.326953125,0
Sun May 15 12:53:33 2022,31.246967356649165,25.8125,5014,72.6661224039053,22.296484375,0
Sun May 15 12:54:05 2022,30.89675378071769,25.875,4983,78.25101944752606,22.337109375,0
Sun May 15 12:54:38 2022,31.354424898859456,25.875,4985,75.48226084566767,22.29140625,0
Sun May 15 12:55:10 2022,31.84762421938203,25.875,4962,78.90413044874464,22.3625,0
Sun May 15 12:55:42 2022,32.84373035426109,25.9375,4906,80.8819370591166,22.408203125,0
Sun May 15 12:56:14 2022,32.692822521678494,25.9375,4952,81.51590370447111,22.47421875,0
Sun May 15 12:56:46 2022,33.20464421631361,25.9375,4880,82.03229123663124,22.499609375,0
Sun May 15 12:57:18 2022,32.383715419959735,25.875,4851,79.7228157352736,22.530078125,0
Sun May 15 12:57:50 2022,33.61164645286003,25.875,4764,82.97480127096046,22.5505859375,0
Sun May 15 12:58:22 2022,33.03210361788751,25.875,4768,82.51463808835129,22.5556640625,0
Sun May 15 12:58:54 2022,33.151212588719375,25.875,4694,81.00535251431383,22.5810546875,0
Sun May 15 12:59:26 2022,32.89526933528951,25.875,4672,79.9880894259757,22.5962890625,0
Sun May 15 12:59:58 2022,33.0002408737263,25.8125,4663,69.2115751184076,22.51484375,0
Sun May 15 13:00:30 2022,32.590018226031994,25.875,4583,77.64816107727775,22.5046875,0
Sun May 15 13:01:02 2022,31.866974608482693,25.8125,4537,81.22333908138661,22.525,0
Sun May 15 13:01:34 2022,32.69017278987831,25.8125,4464,82.03915653904559,22.530078125,0
Sun May 15 13:02:06 2022,32.53159961913856,25.8125,4448,77.53003922450426,22.5556640625,0
Sun May 15 13:02:38 2022,33.04862794300864,25.75,4382,75.48469164379495,22.5810546875,0
Sun May 15 13:03:10 2022,32.637665203311535,25.75,4386,67.7768423598397,22.5453125,0
